loss,step,epoch,val_loss
1.0181580781936646,7,0,
0.9982876777648926,15,1,
0.987582802772522,23,2,
,31,3,0.813998281955719
0.9693341851234436,31,3,
0.9200104475021362,39,4,
0.822684645652771,47,5,
0.7720760107040405,55,6,
,63,7,0.6848958134651184
0.749492883682251,63,7,
0.7210842370986938,71,8,
0.7019157409667969,79,9,
0.6770943403244019,87,10,
,95,11,0.6294939517974854
0.6582523584365845,95,11,
0.6371846199035645,103,12,
0.6277510523796082,111,13,
0.6134446859359741,119,14,
,127,15,0.6126115322113037
0.6196684837341309,127,15,
0.6096810698509216,135,16,
0.6056430339813232,143,17,
0.6104989647865295,151,18,
,159,19,0.6035501956939697
0.6058274507522583,159,19,
0.602249026298523,167,20,
0.5992909669876099,175,21,
0.5938931703567505,183,22,
,191,23,0.5964171886444092
0.5941401124000549,191,23,
0.5903971195220947,199,24,
0.590887188911438,207,25,
0.5797306299209595,215,26,
,223,27,0.5846922993659973
0.5847782492637634,223,27,
0.5796643495559692,231,28,
0.576757550239563,239,29,
0.5617716312408447,247,30,
,255,31,0.5732171535491943
0.5628315210342407,255,31,
0.5583680868148804,263,32,
0.5532994866371155,271,33,
0.5554471015930176,279,34,
,287,35,0.5619489550590515
0.5498878955841064,287,35,
0.5353303551673889,295,36,
0.5450596213340759,303,37,
0.5433617830276489,311,38,
,319,39,0.5546173453330994
0.5417230129241943,319,39,
0.5384355187416077,327,40,
0.5277373790740967,335,41,
0.5198447704315186,343,42,
,351,43,0.5176564455032349
0.5051865577697754,351,43,
0.49259495735168457,359,44,
0.49324214458465576,367,45,
0.4751392900943756,375,46,
,383,47,0.5052133798599243
0.47367268800735474,383,47,
0.4609137773513794,391,48,
0.4632858335971832,399,49,
0.4601019620895386,407,50,
,415,51,0.498233437538147
0.4593992829322815,415,51,
0.45092207193374634,423,52,
0.44479215145111084,431,53,
0.45544737577438354,439,54,
,447,55,0.4879593253135681
0.4454512298107147,447,55,
0.4350973963737488,455,56,
0.44338151812553406,463,57,
0.44435763359069824,471,58,
,479,59,0.4835939407348633
0.43283259868621826,479,59,
0.4399647116661072,487,60,
0.42708325386047363,495,61,
0.43808281421661377,503,62,
,511,63,0.48095548152923584
0.4338761270046234,511,63,
0.4273253083229065,519,64,
0.42848753929138184,527,65,
0.4284566640853882,535,66,
,543,67,0.4774530529975891
0.43195104598999023,543,67,
0.4235495328903198,551,68,
0.41830992698669434,559,69,
0.4237736165523529,567,70,
,575,71,0.47269177436828613
0.425184041261673,575,71,
0.41985052824020386,583,72,
0.4268808364868164,591,73,
0.41823333501815796,599,74,
,607,75,0.4695563316345215
0.4300604462623596,607,75,
0.4325849413871765,615,76,
0.42381101846694946,623,77,
0.43184179067611694,631,78,
,639,79,0.4694536626338959
0.4233587980270386,639,79,
0.4221354126930237,647,80,
0.42670583724975586,655,81,
0.42475104331970215,663,82,
,671,83,0.46761181950569153
0.41752853989601135,671,83,
0.4169555604457855,679,84,
0.4228857159614563,687,85,
0.4161389470100403,695,86,
,703,87,0.46407005190849304
0.4195501506328583,703,87,
0.41477200388908386,711,88,
0.4086930453777313,719,89,
0.41908594965934753,727,90,
,735,91,0.4627421498298645
0.41419389843940735,735,91,
0.40989255905151367,743,92,
0.4087294042110443,751,93,
0.41251540184020996,759,94,
,767,95,0.4614332616329193
0.4138375520706177,767,95,
0.4221966862678528,775,96,
0.41043952107429504,783,97,
0.40526458621025085,791,98,
,799,99,0.46097704768180847
0.4137616753578186,799,99,
0.40699511766433716,807,100,
0.41566818952560425,815,101,
0.4135396480560303,823,102,
,831,103,0.4576941728591919
0.4084557890892029,831,103,
0.4133862853050232,839,104,
0.41165614128112793,847,105,
0.40128692984580994,855,106,
,863,107,0.45775872468948364
0.40468162298202515,863,107,
0.406773179769516,871,108,
0.4106357991695404,879,109,
0.4109692871570587,887,110,
,895,111,0.45664817094802856
0.4104982316493988,895,111,
0.4043245315551758,903,112,
0.40313076972961426,911,113,
0.4058326780796051,919,114,
,927,115,0.4559214115142822
0.4075010418891907,927,115,
0.40755632519721985,935,116,
0.4042547643184662,943,117,
0.41137415170669556,951,118,
,959,119,0.4551001191139221
0.40541401505470276,959,119,
0.40962886810302734,967,120,
0.40388959646224976,975,121,
0.40545040369033813,983,122,
,991,123,0.4550887644290924
0.3976480960845947,991,123,
0.4038979411125183,999,124,
0.40766510367393494,1007,125,
0.4066343903541565,1015,126,
,1023,127,0.4550483524799347
0.4012914299964905,1023,127,
0.4118143916130066,1031,128,
0.4094753861427307,1039,129,
0.39608582854270935,1047,130,
,1055,131,0.45521488785743713
0.4023052155971527,1055,131,
0.4005875587463379,1063,132,
0.41369879245758057,1071,133,
0.3981913924217224,1079,134,
,1087,135,0.4549044966697693
