epoch,step,loss,val_loss
65,395,0.4446865916252136,
66,401,0.4259437918663025,
67,407,,0.4723902940750122
67,407,0.42364996671676636,
68,413,0.3997301757335663,
69,419,0.4001410901546478,
70,425,0.42283895611763,
71,431,,0.46302664279937744
71,431,0.4164813756942749,
72,437,0.39975476264953613,
73,443,0.4018242359161377,
74,449,0.4143625795841217,
75,455,,0.4567875862121582
75,455,0.4165458679199219,
76,461,0.4134238660335541,
77,467,0.42557182908058167,
78,473,0.42381229996681213,
79,479,,0.45319172739982605
79,479,0.39464953541755676,
80,485,0.40566757321357727,
81,491,0.3888455927371979,
82,497,0.4259549677371979,
83,503,,0.46202003955841064
83,503,0.3867652118206024,
84,509,0.4222305715084076,
85,515,0.3919219672679901,
86,521,0.40150314569473267,
87,527,,0.4502105116844177
87,527,0.4080754220485687,
88,533,0.411276638507843,
89,539,0.38811737298965454,
90,545,0.41576966643333435,
91,551,,0.45191502571105957
91,551,0.4121987521648407,
92,557,0.39389318227767944,
93,563,0.396210253238678,
94,569,0.3983406722545624,
95,575,,0.44555285573005676
95,575,0.4068131744861603,
96,581,0.3812975585460663,
97,587,0.397783488035202,
98,593,0.40267252922058105,
99,599,,0.44787806272506714
99,599,0.4011540114879608,
100,605,0.3798515796661377,
101,611,0.410278856754303,
102,617,0.4177934229373932,
103,623,,0.4439627230167389
103,623,0.3941922187805176,
104,629,0.3707083463668823,
105,635,0.38311728835105896,
106,641,0.4047428071498871,
107,647,,0.4474971294403076
107,647,0.39082351326942444,
108,653,0.40020355582237244,
109,659,0.393733948469162,
110,665,0.4120464324951172,
111,671,,0.4486481249332428
111,671,0.3945235311985016,
112,677,0.3976019024848938,
113,683,0.41925114393234253,
114,689,0.3793063759803772,
115,695,,0.4404184818267822
115,695,0.37413930892944336,
116,701,0.4014609158039093,
117,707,0.3759607970714569,
118,713,0.3927936553955078,
119,719,,0.4398099184036255
119,719,0.4043568968772888,
120,725,0.36649584770202637,
121,731,0.39527180790901184,
122,737,0.3728061318397522,
123,743,,0.4422922432422638
123,743,0.3852909505367279,
124,749,0.3868550658226013,
125,755,0.36676502227783203,
126,761,0.41660478711128235,
127,767,,0.44266021251678467
127,767,0.38095352053642273,
128,773,0.39000946283340454,
129,779,0.403382807970047,
130,785,0.39161643385887146,
131,791,,0.4373379349708557
131,791,0.3767363429069519,
132,797,0.38174575567245483,
133,803,0.39200350642204285,
134,809,0.3949924111366272,
135,815,,0.43535828590393066
135,815,0.3872825801372528,
136,821,0.4003961682319641,
137,827,0.37778452038764954,
138,833,0.39594534039497375,
139,839,,0.4354221224784851
139,839,0.39718198776245117,
140,845,0.37426745891571045,
141,851,0.3726729452610016,
142,857,0.37035587430000305,
143,863,,0.43504050374031067
143,863,0.3917306363582611,
144,869,0.3760314881801605,
145,875,0.39895719289779663,
146,881,0.3858349919319153,
147,887,,0.43663814663887024
147,887,0.3888157904148102,
148,893,0.3902965784072876,
149,899,0.3770885467529297,
150,905,0.37411579489707947,
151,911,,0.4355677366256714
151,911,0.38734492659568787,
152,917,0.39319369196891785,
153,923,0.3776787519454956,
154,929,0.37792178988456726,
155,935,,0.43584761023521423
155,935,0.4010621905326843,
156,941,0.36396676301956177,
157,947,0.38523662090301514,
158,953,0.3683041036128998,
159,959,,0.43612512946128845
159,959,0.39564940333366394,
160,965,0.3996445834636688,
161,971,0.4019004702568054,
162,977,0.38493412733078003,
163,983,,0.4351312220096588
163,983,0.3930334746837616,
164,989,0.3952041566371918,
165,995,0.390951544046402,
166,1001,0.39712652564048767,
167,1007,,0.43653014302253723
167,1007,0.4068966805934906,
168,1013,0.3818392753601074,
169,1019,0.3986041247844696,
170,1025,0.39287665486335754,
171,1031,,0.43644240498542786
171,1031,0.3878968358039856,
172,1037,0.40903928875923157,
173,1043,0.38712078332901,
174,1049,0.3910963833332062,
175,1055,,0.4364887475967407
175,1055,0.38049080967903137,
176,1061,0.36928126215934753,
177,1067,0.3749730587005615,
178,1073,0.3880642354488373,
179,1079,,0.43642643094062805
179,1079,0.37234416604042053,
180,1085,0.3806787133216858,
181,1091,0.37524011731147766,
182,1097,0.38070204854011536,
183,1103,,0.43558165431022644
183,1103,0.3963864743709564,
184,1109,0.3742024600505829,
185,1115,0.3846980333328247,
186,1121,0.41068196296691895,
187,1127,,0.43593695759773254
187,1127,0.3845413327217102,
188,1133,0.36848965287208557,
189,1139,0.36938345432281494,
190,1145,0.37611186504364014,
191,1151,,0.4357832074165344
191,1151,0.3996107578277588,
192,1157,0.3802386224269867,
193,1163,0.40363988280296326,
194,1169,0.39242789149284363,
195,1175,,0.4358254373073578
195,1175,0.38735565543174744,
196,1181,0.36322450637817383,
197,1187,0.3911287784576416,
198,1193,0.3671462833881378,
199,1199,,0.43607842922210693
199,1199,0.3887091875076294,
200,1205,0.3834553360939026,
201,1211,0.3892273008823395,
202,1217,0.3830363154411316,
203,1223,,0.4358578026294708
203,1223,0.3892078697681427,
204,1229,0.3796585500240326,
205,1235,0.3988994061946869,
206,1241,0.3896861970424652,
207,1247,,0.4357829689979553
207,1247,0.39662936329841614,
208,1253,0.40428677201271057,
209,1259,0.3841468393802643,
